																																																																			
2024-01-02	12:10:46	RECEIVED	[10]	:	80	7E	4B	DC	01	03	A0	2B	00	04																																																					
2024-01-02	12:10:46	RECEIVED	[15]	:	7E	80	4B	DC	81	03	08	24	01	02	12	14	48	28	02																																																
2024-01-02	12:10:47	RECEIVED	[10]	:	80	7E	4B	E0	01	03	79	E0	00	1C																																																					
2024-01-02	12:10:47	RECEIVED	[63]	:	7E	80	4B	E0	81	03	38	01	6C	00	EC	00	E6	04	F6	04	F6	00	E6	00	00	00	00	00	00	00	00	22	00	00	11	00	00	00	00	00	00	00	00	00	00	00	00	00	C7	04	F6	04	F6	00	FA	00	C6	00	C6	00	C3	00	00	00	00	05	0A
2024-01-02	12:10:58	RECEIVED	[10]	:	80	7E	4B	E4	01	03	7A	18	00	1C																																																					
2024-01-02	12:10:58	RECEIVED	[63]	:	7E	80	4B	E4	81	03	38	02	01	4B	08	14	46	4B	0F	14	50	4B	0F	14	50	07	03	00	64	00	09	00	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	02	08	27	00	01	7E	21	01
2024-01-02	12:13:46	RECEIVED	[10]	:	80	7E	4B	E8	01	03	79	FC	00	1C																																																					
2024-01-02	12:16:09	RECEIVED	[23]	:	80	08	3D	70	01	17	A0	29	00	15	A0	2F	00	04	08	00	C6	00	C3	00	25	01	00																																								
2024-01-02	12:20:46	RECEIVED	[10]	:	80	7E	4B	EC	01	03	A0	2B	00	04																																																					
2024-01-02	12:20:46	RECEIVED	[15]	:	7E	80	4B	EC	81	03	08	24	01	02	12	24	48	28	02																																																
2024-01-02	12:20:47	RECEIVED	[10]	:	80	7E	4B	F0	01	03	79	E0	00	1C																																																					
2024-01-02	12:20:58	RECEIVED	[10]	:	80	7E	4B	F4	01	03	7A	34	00	1C																																																					
2024-01-02	12:20:58	RECEIVED	[63]	:	7E	80	4B	F4	81	03	38	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF
2024-01-02	12:23:46	RECEIVED	[10]	:	80	7E	4B	F8	01	03	79	FC	00	1C																																																					
2024-01-02	12:23:46	RECEIVED	[63]	:	7E	80	4B	F8	81	03	38	01	63	00	E6	00	E0	04	F6	04	F6	00	E0	00	00	00	00	00	00	00	00	22	00	00	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	01	45	65	94
2024-01-02	12:26:10	RECEIVED	[23]	:	80	08	3D	74	01	17	A0	29	00	15	A0	2F	00	04	08	00	C6	00	C3	00	25	00	FA																																								
2024-01-02	12:30:47	RECEIVED	[15]	:	7E	80	4B	FC	81	03	08	24	01	02	12	34	48	28	02																																																
2024-01-02	12:30:47	RECEIVED	[10]	:	80	7E	4B	00	01	03	79	E0	00	1C																																																					
2024-01-02	12:30:47	RECEIVED	[63]	:	7E	80	4B	00	81	03	38	01	5E	00	E6	00	E0	04	F6	04	F6	00	D9	00	00	00	00	00	00	00	00	22	00	00	11	00	00	00	00	00	00	00	00	00	00	00	00	00	C6	04	F6	04	F6	00	F8	00	C6	00	C6	00	C3	00	00	00	00	05	0A
2024-01-02	12:30:58	RECEIVED	[10]	:	80	7E	4B	04	01	03	7A	18	00	1C																																																					
2024-01-02	12:30:58	RECEIVED	[63]	:	7E	80	4B	04	81	03	38	02	01	4B	08	14	46	4B	0F	14	50	4B	0F	14	50	07	03	00	64	00	09	00	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	02	08	27	00	01	7E	21	01
2024-01-02	12:33:47	RECEIVED	[10]	:	80	7E	4B	08	01	03	79	FC	00	1C																																																					
2024-01-02	12:33:47	RECEIVED	[63]	:	7E	80	4B	08	81	03	38	01	63	00	E6	00	E0	04	F6	04	F6	00	D9	00	00	00	00	00	00	00	00	22	00	00	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	03	9D	65	94
2024-01-02	12:36:10	RECEIVED	[23]	:	80	08	3D	78	01	17	A0	29	00	15	A0	2F	00	04	08	00	C6	00	C3	00	25	00	FA																																								
2024-01-02	12:36:10	RECEIVED	[49]	:	08	80	3D	78	81	17	2A	05	0A	00	00	24	01	02	12	40	12	28	02	00	C6	00	C3	00	25	00	FA	00	F8	04	F6	00	00	00	00	00	00	00	00	04	F6	00	00	00	00	00	00	00	00														
2024-01-02	12:40:46	RECEIVED	[10]	:	80	7E	4B	0C	01	03	A0	2B	00	04																																																					
2024-01-02	12:40:46	RECEIVED	[15]	:	7E	80	4B	0C	81	03	08	24	01	02	12	44	49	28	02																																																
2024-01-02	12:40:47	RECEIVED	[10]	:	80	7E	4B	10	01	03	79	E0	00	1C																																																					
